States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,50-64 Years,2,0,2,0,0,1,0,0,0,1,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,1,0,0,2,1,2,4,9,19,16,41,73,85,74,76,45,44,65,50,52,40,13,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,4,3,2,2,11,4,5,7,4,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,3,5,19,10,18,21,12,14,20,16,18,15,5,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,7,9,8,21,38,54,37,44,26,23,31,27,25,16,3,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,12,12,19,15,8,4,4,3,3,4,2,1,0,0,0,0,0,0
,Unknown,All Recipient Ages,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,5,4,6,8,13,20,64,181,252,261,226,268,235,268
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,3,4,3
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,3,2
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,6,12,6,2,10
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,5,12,47,71,76,71,74,79,82
,,35-49 Years,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,3,5,3,8,24,65,88,99,84,115,99,102
,,50-64 Years,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,4,24,58,77,66,41,64,47,65
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,9,9,5,1,4
Hawaii,All Diabetes,All Recipient Ages,32,63,46,42,41,54,46,49,51,60,44,16,40,45,46,53,42,53,70,41,49,59,45,38,48,34,28,29,17,26,21,37,27,25,33,16
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
,,11-17 Years,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,0,1,0,2,1,3,1,1,1,0,3,2,2,1,0,1,2,0,3,0
,,18-34 Years,2,5,4,4,7,4,5,8,9,5,6,1,3,1,5,13,5,7,8,9,6,12,7,8,10,7,6,10,8,8,5,8,14,8,13,10
,,35-49 Years,14,19,13,8,11,12,15,12,14,14,8,7,10,15,8,8,5,10,24,9,14,20,14,13,15,14,11,9,3,12,11,22,5,10,10,4
,,50-64 Years,11,25,19,16,17,28,20,14,19,22,21,5,21,19,22,22,21,27,30,15,20,17,18,14,18,11,6,7,2,4,4,6,5,7,4,2
,,65 +,5,14,10,14,6,10,5,14,9,18,9,3,6,8,10,8,11,8,7,6,7,7,2,2,3,1,1,1,2,0,1,0,1,0,0,0
,Diabetes Status Unknown,All Recipient Ages,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,18,42,29,22,34,34,33,34,32,34,29,10,22,27,28,34,20,33,47,25,27,46,33,30,34,25,22,18,12,5,1,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,0,1,0,2,1,3,1,1,1,0,3,2,2,0,0,0,0,0,0,0
,,18-34 Years,2,5,4,4,7,3,5,7,8,5,6,1,3,1,4,13,5,7,8,7,6,12,7,8,8,3,6,7,6,4,0,0,0,0,0,0
,,35-49 Years,9,14,13,5,10,8,12,9,10,10,7,5,7,13,7,6,3,7,19,7,9,16,12,12,9,13,7,4,2,1,1,0,0,0,0,0
,,50-64 Years,4,15,7,8,13,16,12,9,10,11,11,2,11,8,11,9,8,14,15,5,9,9,9,9,13,7,4,4,1,0,0,0,0,0,0,0
,,65 +,3,8,5,5,4,7,3,8,4,7,5,2,1,3,5,4,4,4,4,4,1,6,1,0,2,1,1,1,1,0,0,0,0,0,0,0
,Type I,All Recipient Ages,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,14,19,17,20,7,20,12,13,17,25,15,5,17,15,17,12,15,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,5,4,0,3,1,4,3,2,3,4,1,2,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,7,9,12,8,4,12,7,5,9,10,10,2,10,10,11,9,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,6,5,9,2,3,2,6,5,11,4,1,5,4,5,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,1,0,0,1,0,1,1,3,0,6,7,15,16,15,22,12,11,8,13,6,4,4,0,1,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,2,5,4,1,1,5,0,2,2,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,4,3,11,12,10,11,8,9,5,5,4,2,1,0,1,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,1,1,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,7,5,20,20,37,27,25,33,16
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,5,8,14,8,13,10
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,11,10,22,5,10,10,4
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,6,5,7,4,2
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Illinois,All Diabetes,All Recipient Ages,1160,1263,1201,822,910,798,722,687,523,613,677,646,708,714,741,726,669,795,775,714,704,672,574,589,495,488,467,508,497,420,363,341,331,298,315,335
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1
,,1-5 Years,3,5,6,6,6,9,6,4,4,5,8,6,6,7,11,6,5,7,7,2,6,9,8,10,6,5,5,11,3,3,3,4,3,2,12,5
,,6-10 Years,1,4,9,5,5,4,4,4,6,6,4,1,3,3,4,5,8,7,5,5,7,4,10,7,10,5,5,10,8,9,4,2,7,4,4,7
,,11-17 Years,20,14,23,19,11,15,14,12,15,13,14,20,26,28,23,24,21,28,21,30,21,30,21,14,19,14,17,32,22,26,14,8,19,19,20,16
,,18-34 Years,105,159,155,77,93,103,108,97,91,79,94,84,90,119,111,104,97,120,138,127,116,118,118,114,104,105,100,108,125,126,110,104,110,103,103,110
,,35-49 Years,249,308,321,204,246,201,207,190,134,154,173,171,182,202,178,204,202,225,237,219,240,225,172,228,174,174,174,179,192,146,143,134,105,104,100,116
,,50-64 Years,493,511,462,339,377,304,253,278,192,237,279,244,273,263,299,284,277,317,292,252,257,224,213,180,166,157,145,150,128,93,75,83,82,62,68,76
,,65 +,289,262,225,172,172,162,130,102,81,119,105,120,128,92,115,99,58,90,75,79,57,62,32,36,15,28,21,17,19,17,14,6,4,3,7,4
,Diabetes Status Unknown,All Recipient Ages,0,0,1,0,0,0,1,2,1,4,26,19,35,89,106,82,43,13,19,17,38,14,6,11,7,2,7,5,7,5,2,1,0,1,0,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,3,1,4,17,24,17,10,2,7,7,10,4,0,2,2,1,0,0,0,0,2,0,0,0,0,0
,,35-49 Years,0,0,1,0,0,0,0,0,0,3,7,8,12,30,20,27,16,6,5,2,8,3,1,5,2,0,5,1,3,1,0,0,0,1,0,0
,,50-64 Years,0,0,0,0,0,0,1,1,1,1,11,6,14,29,42,27,13,3,4,5,14,3,3,1,1,1,2,0,4,3,0,1,0,0,0,0
,,65 +,0,0,0,0,0,0,0,1,0,0,5,4,5,12,19,11,4,2,2,2,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
,No,All Recipient Ages,677,819,768,511,554,514,490,441,358,423,422,418,433,392,377,397,415,557,548,510,501,487,439,453,385,377,327,314,256,100,4,2,3,0,2,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,3,5,6,6,6,9,6,4,4,5,8,6,6,7,11,6,5,7,7,2,5,9,8,9,6,5,5,10,3,1,0,0,0,0,0,0
,,6-10 Years,1,4,9,5,5,4,4,4,6,6,4,1,3,3,4,5,8,7,4,5,7,4,9,6,10,5,3,9,8,5,1,0,0,0,0,0
,,11-17 Years,20,14,23,19,11,15,14,12,15,13,14,19,26,27,21,24,21,28,21,29,17,28,20,14,17,13,16,29,20,13,1,0,0,0,1,0
,,18-34 Years,98,156,148,74,85,95,102,90,88,74,86,76,79,89,72,79,83,107,117,108,100,108,107,105,95,94,85,77,71,33,0,1,2,0,0,0
,,35-49 Years,191,243,258,148,161,147,159,138,107,117,118,124,129,118,105,121,135,170,188,173,185,178,141,178,131,143,112,112,89,28,1,1,1,0,1,0
,,50-64 Years,244,268,233,177,201,163,136,150,106,138,142,139,132,102,118,122,135,190,171,152,156,123,132,117,114,96,90,72,56,16,1,0,0,0,0,0
,,65 +,120,129,91,82,85,81,69,43,32,70,50,53,58,46,46,40,27,47,40,41,31,37,22,24,11,21,16,5,9,4,0,0,0,0,0,0
,Type I,All Recipient Ages,30,19,23,20,17,26,13,25,8,13,24,22,38,53,75,48,40,37,31,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,3,1,2,0,2,1,1,2,1,2,2,3,6,9,12,4,3,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,7,6,9,6,9,9,6,10,2,5,8,10,15,20,22,20,16,11,11,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,15,10,7,11,6,10,6,12,3,4,11,8,15,21,28,20,20,17,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,5,2,5,3,0,6,0,1,2,2,3,1,2,3,12,4,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,416,394,384,275,316,251,215,216,152,164,198,174,182,161,151,163,134,139,82,38,14,13,14,7,3,1,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,4,0,5,3,4,7,4,4,2,3,3,3,1,3,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,44,57,48,49,70,44,41,42,25,28,37,26,22,30,25,30,25,30,18,8,5,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,214,219,210,141,159,126,109,114,79,87,111,86,102,100,91,94,89,74,47,24,7,9,12,5,1,0,0,0,0,0,0,0,0,0,0,0
,,65 +,154,118,121,82,83,74,61,56,46,46,47,59,57,28,34,36,19,32,14,6,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,37,31,20,16,23,4,2,2,2,5,5,6,10,9,5,10,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,7,2,5,1,6,1,1,0,0,1,3,1,2,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,20,14,7,10,11,2,1,1,1,4,2,1,5,6,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,10,13,8,5,4,1,0,1,1,0,0,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,5,0,0,3,1,1,2,4,2,7,10,10,25,26,36,48,91,134,149,154,112,116,85,91,79,85,72,30,0,0,0,0,0,1
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,2,4,7,6,6,10,6,5,6,5,8,9,5,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,3,10,7,14,31,40,37,29,42,31,25,31,34,35,13,0,0,0,0,0,1
,,50-64 Years,0,0,5,0,0,3,0,0,2,3,2,4,5,5,15,15,20,33,58,68,80,88,65,57,47,55,38,36,24,10,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,7,6,6,15,28,22,23,7,11,2,5,4,7,4,1,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,1,2,2,1,15,17,54,104,162,285,357,338,328,297,313,334
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,3,2,12,5
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,7,4,4,7
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,13,13,8,19,19,19,16
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,10,23,45,88,108,103,108,103,103,110
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,9,5,26,32,65,104,142,133,104,103,99,115
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3,5,15,42,44,64,74,82,82,62,68,76
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,5,6,11,14,6,4,3,7,4
Indiana,All Diabetes,All Recipient Ages,235,303,351,358,316,277,260,269,263,276,282,300,273,285,274,237,236,226,283,249,233,233,184,162,146,183,147,145,155,157,162,163,131,153,144,146
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,1,1,3,1,2,3,1,2,3,2,3,6,4,2,4,5,4,2,2,4,2,2,2,4,2,0,2,1,1,2,1,3,3,4,5,2
,,6-10 Years,3,3,2,1,2,9,2,0,1,2,0,3,3,2,6,2,0,2,4,3,1,4,1,1,0,3,0,2,2,4,5,4,1,2,3,1
,,11-17 Years,5,4,8,11,10,5,6,6,6,8,10,11,5,10,10,8,5,10,16,5,8,11,10,5,7,4,7,5,7,6,3,12,4,11,6,12
,,18-34 Years,30,47,42,58,34,39,24,40,46,29,38,43,36,30,40,31,30,47,39,43,37,27,39,43,37,43,26,40,39,47,45,54,40,58,48,57
,,35-49 Years,72,80,100,80,79,67,80,70,75,65,67,68,79,78,68,56,59,61,86,82,73,74,70,50,47,66,60,57,56,60,65,65,44,52,59,54
,,50-64 Years,92,107,134,127,126,96,101,85,84,95,98,107,98,105,104,89,93,78,102,86,79,96,56,51,45,50,45,34,45,32,38,20,34,25,23,20
,,65 +,32,61,62,80,63,58,46,66,48,75,66,62,48,58,42,46,45,26,34,26,33,19,6,8,7,17,7,6,5,6,5,5,5,1,0,0
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,9,1,3,8,2,0,0,0,0,0,0,1,1,0,1,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,158,214,236,248,218,203,179,190,200,198,198,227,188,190,208,175,164,174,205,178,162,160,135,111,108,145,111,83,72,45,9,8,4,6,6,3
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,1,1,3,1,2,3,1,2,3,2,3,6,4,2,4,5,4,2,2,4,2,2,2,4,2,0,2,1,1,1,0,0,1,0,0,0
,,6-10 Years,3,3,2,1,2,9,2,0,1,2,0,3,3,2,6,2,0,2,3,3,1,4,1,1,0,3,0,2,2,2,0,0,0,0,0,0
,,11-17 Years,5,4,8,11,10,5,6,6,6,8,10,11,5,10,10,8,5,9,16,5,8,11,10,5,7,4,7,5,7,2,0,1,0,0,0,0
,,18-34 Years,28,46,39,52,34,38,22,39,46,27,36,40,31,26,37,30,29,45,37,36,32,22,34,37,31,38,22,23,17,18,3,1,2,3,3,2
,,35-49 Years,58,66,78,61,69,50,59,58,63,54,52,55,55,56,52,46,47,51,65,63,53,51,51,30,32,50,42,28,24,13,4,3,0,3,3,1
,,50-64 Years,46,58,77,83,70,63,67,52,56,66,63,74,60,61,73,57,58,48,65,50,43,60,35,30,30,36,32,21,18,8,2,3,1,0,0,0
,,65 +,17,36,29,39,31,35,22,33,25,39,34,38,30,33,26,27,21,17,17,17,23,10,2,4,5,14,6,3,3,1,0,0,0,0,0,0
,Type I,All Recipient Ages,7,3,9,11,9,8,11,9,9,12,11,9,17,21,15,6,10,7,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,1,1,0,0,1,0,0,2,2,1,4,4,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,3,1,5,3,4,4,6,3,4,3,5,3,7,8,7,2,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,2,2,2,6,5,4,3,4,4,6,3,4,5,7,4,3,6,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,1,0,1,1,0,0,1,2,1,1,1,1,1,2,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,69,86,106,99,88,65,68,70,54,62,70,62,65,68,48,53,54,39,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,1,2,5,0,1,0,1,0,0,0,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,11,13,17,16,6,13,15,9,8,8,10,10,17,11,9,8,9,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,43,47,55,38,51,29,30,29,24,21,31,28,31,35,25,27,25,25,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,14,25,32,40,31,22,23,31,22,33,29,22,16,22,14,18,19,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,1,0,0,4,2,2,3,5,2,3,8,6,20,56,60,71,46,42,34,35,29,39,35,9,0,3,2,1,0,1
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,5,5,5,5,3,10,7,3,0,1,0,1,0,1
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,5,14,12,22,17,17,15,15,15,16,17,3,0,2,1,0,0,0
,,50-64 Years,0,0,0,0,0,0,1,0,0,2,1,1,2,2,2,2,4,4,8,32,35,36,20,16,13,12,11,12,11,2,0,0,1,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,3,0,7,6,9,9,4,4,1,3,0,1,0,1,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,2,3,7,23,48,103,153,151,124,146,137,142
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,5,2
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,1,2,3,1
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,4,11,6,12
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,7,15,26,42,52,37,54,44,54
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,13,15,44,61,60,43,49,56,53
