States,Diabetes Status,Relationship,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,"Non-Biol,unrel: Paired Donation",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,1,0,1,2,1,2,5,4,12,23,7,18,35,42,37,79,131,142,201,198,217,157,123,163,159,136,119,73,17,2,0,0,1,1,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,3,5,7,13,15,22,13,8,3,2,1,1,0,0,0,0,0,0,0,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,6,3,10,29,83,157,260,467,695,712,677,641,595,662
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,7,41,34,38,30,32,37
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,8,21,14,13,15,7,3
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,28,61,62,65,40,48,47
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,2,4,0,2
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,14,8,4,4,3,6
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,6,3,10,26,79,151,242,417,548,588,554,547,504,567
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,1,0,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,1,0
Puerto Rico,All Diabetes,All Donor Relations,56,53,66,65,69,68,62,82,82,87,98,85,80,80,80,87,95,75,109,86,84,68,91,68,56,71,41,25,37,32,37,38,36,35,34,30
,,"Biological, blood related Parent",0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,2,5,1,2,1,2,3,4,5,4,8,9,3,7,1,4,7,9,5,11,2
,,"Biological, blood related Child",0,0,0,0,2,3,2,0,1,4,1,0,1,2,3,4,1,3,4,5,5,8,6,6,5,5,2,2,1,1,2,5,3,3,4,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",3,1,3,0,1,1,2,2,0,2,2,3,0,3,6,5,1,2,7,10,9,9,8,10,7,14,6,9,11,12,8,11,5,8,7,10
,,"Biological, blood related Half Sibling",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",4,1,0,0,1,0,0,0,1,0,1,0,0,1,0,2,0,1,0,1,2,3,3,2,2,1,1,0,0,1,4,0,4,1,0,0
,,"Non-Biological, Spouse",0,1,2,2,0,0,0,4,0,1,1,0,0,2,1,3,2,5,6,4,3,3,7,5,4,2,7,3,6,0,1,5,3,4,0,0
,,"Non-Biological, Life Partner",1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",47,48,61,59,60,63,55,73,76,76,91,81,78,69,69,68,86,61,87,62,56,42,59,37,32,40,15,7,12,13,13,9,9,13,11,18
,,"Non-Biological, Other Unrelated Directed",1,1,0,3,5,1,1,0,0,2,1,0,1,0,0,0,0,0,0,3,6,0,4,3,1,1,0,0,0,0,3,1,3,0,1,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,0,0,1,0,0
,Diabetes Status Unknown,All Donor Relations,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,No,All Donor Relations,40,42,47,45,43,50,46,55,56,57,60,60,53,58,65,62,71,56,78,63,72,55,72,57,42,56,31,18,33,14,0,0,0,0,0,1
,,"Biological, blood related Parent",0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,2,4,1,2,1,2,3,3,3,3,8,9,3,7,1,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,1,2,2,0,1,1,1,0,1,1,2,2,0,2,3,4,3,4,5,5,3,5,1,1,1,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",3,1,2,0,1,1,1,2,0,2,1,3,0,2,6,4,1,1,4,8,9,6,6,8,6,13,4,6,11,11,0,0,0,0,0,1
,,"Biological, blood related Half Sibling",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,2,2,3,2,2,0,1,0,0,1,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,2,2,0,0,0,3,0,1,1,0,0,1,1,0,2,3,4,2,3,3,4,5,3,1,6,2,6,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",33,38,43,40,36,46,41,48,50,49,55,56,51,51,55,51,64,48,62,47,50,37,48,31,23,28,9,5,8,1,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,1,0,2,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,Type I,All Donor Relations,1,0,1,2,1,1,3,3,2,3,4,0,2,5,3,10,7,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",1,0,1,2,0,1,2,3,2,3,3,0,2,2,3,8,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,15,11,18,18,25,16,13,21,23,25,31,23,21,14,11,13,13,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,1,1,0,0,0,3,0,0,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",13,10,17,17,24,15,12,19,23,22,30,23,21,13,10,7,11,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,0,0,0,0,0,0,0,1,1,2,3,2,4,3,1,1,3,6,20,16,12,12,17,8,11,7,8,5,1,3,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,2,0,1,1,0,1,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,1,1,2,3,0,1,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,1,1,2,3,2,4,3,1,1,3,5,17,12,6,4,9,3,6,4,4,0,1,1,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,8,2,2,3,15,37,38,36,35,34,29
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,5,11,2
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,4,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,8,7,9
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,8,2,2,3,11,13,9,9,13,11,18
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0
Rhode Island,All Diabetes,All Donor Relations,46,57,51,50,60,63,49,60,45,61,40,65,48,48,51,39,46,65,71,70,66,85,84,63,53,52,37,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,2,0,0,1,1,2,1,0,2,4,1,0,1,3,2,1,2,4,5,5,4,6,0,2,7,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",2,3,1,3,3,3,0,3,1,1,1,4,0,3,1,3,7,4,2,5,3,5,8,10,6,3,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,2,3,4,4,2,2,7,1,3,1,6,7,6,5,5,5,4,4,5,13,11,12,9,9,8,6,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",1,4,1,1,2,1,0,2,1,0,0,2,0,2,0,0,4,4,2,2,2,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",2,4,0,1,2,3,0,2,0,3,3,3,2,3,1,7,1,1,10,4,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",1,3,1,0,1,0,0,0,0,0,1,0,1,2,1,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",3,1,1,0,4,1,0,0,0,1,1,2,2,2,1,3,0,0,3,6,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",31,31,35,33,32,42,40,38,39,45,27,40,30,23,32,16,22,34,37,34,34,48,42,31,29,27,28,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",6,6,9,8,10,10,5,5,3,4,1,5,5,3,7,2,6,12,7,5,6,6,7,5,3,6,1,0,0,0,0,0,0,0,0,0
,Diabetes Status Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,No,All Donor Relations,30,40,36,33,44,41,39,48,33,45,28,45,31,31,36,26,28,47,47,50,46,59,54,47,39,30,19,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,2,0,0,1,0,2,1,0,2,4,1,0,1,3,2,1,1,4,4,5,3,6,0,2,5,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",1,2,1,2,3,2,0,3,1,1,0,4,0,1,0,1,3,3,0,4,3,3,4,7,5,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,1,2,3,4,1,2,7,0,3,1,5,6,4,5,3,2,3,2,4,9,7,5,6,7,4,4,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,2,1,0,0,0,0,2,1,0,0,2,0,1,0,0,2,4,1,0,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",2,3,0,0,0,1,0,1,0,2,3,2,2,3,0,6,1,1,8,3,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",1,3,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,1,1,0,4,1,0,0,0,1,1,1,2,2,1,3,0,0,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",21,20,25,24,23,27,30,29,29,30,17,26,19,14,21,8,16,23,23,24,23,34,28,23,20,17,13,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",4,5,5,4,7,9,5,4,2,4,1,2,2,2,5,2,3,8,5,4,3,6,6,5,1,4,1,0,0,0,0,0,0,0,0,0
,Type I,All Donor Relations,0,2,4,3,2,5,1,1,1,1,1,2,5,4,4,4,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,2,3,1,2,3,1,1,0,1,1,1,3,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,11,9,7,11,12,10,6,8,6,7,6,8,7,7,4,7,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",8,5,5,5,6,5,6,5,6,7,5,6,3,3,3,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",1,1,2,3,3,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,2,0,0,1,2,1,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",1,0,0,1,1,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,3,6,4,2,0,6,1,2,1,8,4,8,2,5,5,2,9,13,12,17,20,25,29,16,12,17,9,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,2,4,3,1,3,1,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,7,3,2,4,2,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",1,4,2,2,0,6,1,2,1,7,3,6,2,4,5,1,2,9,9,10,11,14,13,8,8,6,6,0,0,0,0,0,0,0,0,0
